name,latitude,longitude
Amherst College,42.3724341,-72.51845881
Appalachian State University,36.21269709,-81.67753918
Arizona State University (ASU),33.45280347,-112.0735939
Arkansas State University (ASU),35.84362674,-90.67789216
Auburn University,32.60018985,-85.49239842
Austin Peay State University,36.53333023,-87.35411235
Ball State University (BSU),40.19996012,-85.40874838
Bates College,44.10527182,-70.20329517
Binghamton University,42.08801959,-75.9711419
Black Hills State University,44.49513074,-103.8717431
Boise State University (BSU),43.6044268,-116.2057706
Bowdoin College,43.90714575,-69.96393251
Bowling Green State University,41.37701023,-83.63756921
Brown University,41.82681331,-71.40296124
Bucknell University,40.95366438,-76.88522971
Cal Poly San Luis Obispo,35.3023291,-120.6616429
California Institute of Technology (CIT),34.1391479,-118.125521
"California State University (CSU), Chico",39.72801646,-121.8463576
"California State University (CSU), Stanislaus",37.52577654,-120.8525431
"California State University, Dominguez Hills (CSUDH)",33.86529546,-118.2589483
"California State University, East Bay (CSUEB)",37.65703875,-122.0580386
"California State University, Fullerton (CSUF)",33.88321138,-117.8856805
"California State University, Long Beach (CSULB)",33.78286727,-118.1120135
"California State University, Northridge (CSUN)",34.2400853,-118.5292658
"California State University, Sacramento (CSUS)",38.5598955,-121.4224634
Carleton College,44.46229699,-93.15466198
Carnegie Mellon University (CMU),40.44363912,-79.94351307
Clemson University,34.67729035,-82.83449154
Cleveland State University,41.50232791,-81.67430838
Colby College,44.56425684,-69.66340275
Colgate University,42.81813041,-75.53519812
College of the Holy Cross,42.23892063,-71.80862323
Colorado College (CC),38.84882507,-104.8226297
Colorado School of Mines,39.74910328,-105.2229358
Colorado State University (CSU),39.74475777,-104.988744
Columbia University,40.80831169,-73.9619123
Cooper Union,40.72938749,-73.99048303
Cornell University,42.44869514,-76.47655068
Dartmouth College,43.7055713,-72.28882751
Davidson College,35.50001962,-80.84521713
Denison University,40.07262577,-82.52061591
DePauw University,39.63949939,-86.86357638
East Carolina University (ECU),35.60638475,-77.36623184
Eastern Michigan University,42.25029866,-83.62520145
Eastern Washington University,47.49127306,-117.5893778
Evergreen State College,47.07380062,-122.9774952
Fitchburg State College,42.58932201,-71.78934566
Florida Atlantic University (FAU),26.37245761,-80.10299783
Florida International University (FIU),25.75713875,-80.37762585
Florida State University (FSU),30.44320927,-84.30151262
Fort Lewis College,37.27542048,-107.8670029
Franklin and Marshall College,40.04808633,-76.3190706
George Mason University,38.83086822,-77.30790435
Georgia Institute of Technology,33.77373671,-84.39604141
Georgia State University,33.75270301,-84.38665104
Gettysburg College,39.83586351,-77.23457707
Grinnell College,41.74635922,-92.72139362
Gustavus Adolphus College,44.32497958,-93.9719065
Hamilton College,43.05427895,-75.40797683
Harvard University,42.3741729,-71.11822913
Harvey Mudd College,34.10574077,-117.7097382
Humboldt State University,40.87549878,-124.0772516
Idaho State University,42.86410352,-112.4291043
Illinois Institute of Technology (IIT),41.83381018,-87.62831478
Illinois State University,40.5097601,-88.9923069
"Indiana University (IU), Bloomington",39.1677525,-86.52355518
Iowa State University,42.02531011,-93.65021588
Juniata College,40.4995203,-78.01511164
Kansas State University (KSU),39.18861886,-96.58103113
Kent State University,41.15161228,-81.33709838
Lafayette College,40.69953138,-75.21135124
Lamar University,30.04428468,-94.07336321
Lewis & Clark College,45.45154062,-122.6703687
Louisiana State University (LSU),30.41274254,-91.18073312
Massachusetts Institute of Technology (MIT),42.36012458,-71.09209764
Michigan State University (MSU),42.72480497,-84.47362071
Middlebury College,44.00915821,-73.17606947
Minnesota State University - Mankato,44.14728276,-93.99853196
Mississippi College,32.33460615,-90.3304194
Mississippi State University (MSU),33.45174344,-88.79079785
Missouri State University (MSU),37.19796339,-93.27677396
Montana State University - Billings,45.79685018,-108.5229923
Montana State University - Bozeman,45.666802,-111.0499422
Moravian College,40.63088117,-75.38095683
Morehead State University,38.1884461,-83.42975174
Mount Holyoke College,42.25755851,-72.57358444
New Mexico Institute of Mining and Technology (New Mexico Tech),34.06623236,-106.9077113
New Mexico State University,32.28290392,-106.7478526
North Carolina State University (NCSU),35.78513463,-78.67448892
North Dakota State University (NDSU),46.89453002,-96.80572012
Northern Illinois University (NIU),41.93381282,-88.76603315
Oberlin College,41.29476191,-82.22179162
Occidental College,34.12622847,-118.2107966
Ohio State University (OSU),39.999484,-83.00875225
Ohio University,39.3237976,-82.10351287
Oklahoma State University,36.12309387,-97.06969982
Oregon State University (OSU),44.56307639,-123.278677
Penn State - Harrisburg,40.20519384,-76.74196463
Pennsylvania State University (PSU),40.80075636,-77.86166416
Pittsburg State University,37.39210099,-94.70247561
Pomona College,34.09826998,-117.7119864
Portland State University (PSU),45.51172156,-122.6842306
Princeton University,40.34710705,-74.65770072
Purdue University,40.42816184,-86.91439483
Randolph-Macon College,37.76078058,-77.47811818
Reed College,45.48100279,-122.6303415
Rensselaer Polytechnic Institute (RPI),42.72899074,-73.67871811
Rochester Institute of Technology (RIT),43.08446667,-77.67381669
Rutgers University,40.49952527,-74.44702402
San Diego State University (SDSU),32.77523615,-117.0711871
San Francisco State University (SFSU),37.72135979,-122.4778872
San Jose State University (SJSU),37.33751466,-121.8804929
Siena College,42.71864304,-73.75101001
Skidmore College,43.096996,-73.78533342
Smith College,42.31797596,-72.6380477
South Dakota School of Mines & Technology,44.07544744,-103.2057088
South Dakota State University (SDSU),44.31944609,-96.78338643
Southern Illinois University Carbondale,37.71741306,-89.22121603
Southern Utah University,37.67466635,-113.0701093
St. Cloud State University,45.55326107,-94.15263759
St. Olaf College,44.46193464,-93.183357
State University of New York (SUNY) at Albany,42.68691129,-73.82498978
State University of New York (SUNY) at Buffalo,42.93371977,-78.88073225
State University of New York (SUNY) at Fredonia,42.45097311,-79.33613884
State University of New York (SUNY) at Geneseo,42.79688351,-77.82197101
State University of New York (SUNY) at Oneonta,42.46655088,-75.06418231
State University of New York (SUNY) at Oswego,43.45381364,-76.54390223
State University of New York (SUNY) at Plattsburgh,44.69306276,-73.46670003
State University of New York (SUNY) at Potsdam,44.66283499,-74.9768708
Stevens Institute of Technology,40.74477389,-74.02532153
Stony Brook University,40.91558412,-73.12107381
Swarthmore College,39.90595427,-75.35159636
Tarleton State University (TSU),32.21563731,-98.22007123
Tennessee Technological University,36.17460973,-85.50393559
Texas A&M University,30.61074886,-96.34919285
Thomas Aquinas College,41.04218999,-73.93684898
Union College,40.7747969,-96.65109563
University of Akron,41.07778868,-81.51032422
University of Alabama at Birmingham (UAB),33.50227655,-86.80916919
University of Alabama at Huntsville (UAH),34.72277847,-86.63840757
"University of Alaska, Anchorage",61.18955943,-149.8260897
University of Arizona,32.23291446,-110.9501276
University of Arkansas,36.0655948,-94.17789142
University of Arkansas - Monticello (UAM),33.58978307,-91.81296947
University of California at Los Angeles (UCLA),34.06887647,-118.4439385
"University of California, Berkeley",37.8757796,-122.2484961
"University of California, Davis",38.5381972,-121.7510163
"University of California, Irvine (UCI)",33.64314115,-117.8378343
"University of California, Riverside (UCR)",33.97451879,-117.3287926
"University of California, San Diego (UCSD)",32.87663803,-117.237791
"University of California, Santa Barbara (UCSB)",34.41233141,-119.8514553
"University of California, Santa Cruz (UCSC)",36.99905955,-122.0607577
University of Central Florida (UCF),28.60214154,-81.2008556
University of Colorado - Boulder (UCB),40.00438314,-105.2670546
University of Colorado - Denver,39.74523237,-104.8393811
University of Connecticut (UConn),41.80769065,-72.25699881
University of Delaware,39.67800557,-75.75282924
University of Florida (UF),29.63826261,-82.36117001
University of Georgia (UGA),33.93767725,-83.37147534
University of Hawaii,21.35535728,-158.0565185
University of Houston (UH),29.71998641,-95.34482262
University of Idaho,46.72688396,-117.0242513
University of Illinois at Chicago,41.87184115,-87.65055158
University of Illinois at Urbana-Champaign (UIUC),40.1083387,-88.22848894
University of Iowa (UI),41.66073694,-91.53569935
University of Kansas,38.9564789,-95.25866556
University of Kentucky (UK),38.02873763,-84.50249393
University of Louisiana (UL) at Lafayette,30.21524971,-92.01944468
University Of Maine,44.89922717,-68.66937319
University of Maryland Baltimore County (UMBC),39.256722,-76.71156976
"University of Maryland, College Park",38.98861653,-76.93966242
University of Massachusetts (UMass) - Amherst,42.3886385,-72.52930739
University of Massachusetts (UMass) - Boston,42.31434358,-71.03979637
University of Massachusetts (UMass) - Dartmouth,41.62899085,-71.00680067
University of Massachusetts (UMass) - Lowell,42.65371183,-71.32507743
University of Memphis (U of M),35.12209321,-89.93790687
University of Michigan,42.27804565,-83.73654539
University of Minnesota,44.97784335,-93.23531458
University of Mississippi,34.36348542,-89.53718129
University of Missouri - Columbia,38.94100017,-92.32642918
University of Missouri - Kansas City (UMKC),39.03372264,-94.576559
University of Missouri - St. Louis (UMSL),38.71125579,-90.3089277
University of Montana,46.86104834,-113.9829295
University of Nebraska,40.82176566,-96.70067422
University of Nebraska at Omaha,41.25796055,-96.0097356
"University of Nevada, Las Vegas (UNLV)",36.10698272,-115.1411459
"University of Nevada, Reno (UNR)",39.54363366,-119.81537
University of New Hampshire (UNH),43.13419126,-70.93452674
University of New Mexico (UNM),35.08389248,-106.6201072
University of North Carolina at Chapel Hill (UNCH),35.91219188,-79.05100328
University of North Carolina at Charlotte (UNCC),35.3068344,-80.73576405
University of North Carolina at Wilmington (UNCW),34.2252045,-77.87555148
University of North Dakota,47.92163682,-97.07175526
University of Oklahoma,35.20802545,-97.44565355
University of Oregon,44.04447153,-123.073938
University of Pennsylvania,39.95103498,-75.19357849
University of Puget Sound,47.26356937,-122.4811841
University of Rhode Island (URI),41.48929399,-71.52867075
University of Richmond,37.57741838,-77.53880379
University of South Carolina,33.9966295,-81.0269476
University of South Florida (USF),28.05662677,-82.41592092
University of Southern Maine,43.66222098,-70.27606203
University of Tennessee,35.9551091,-83.92966948
University of Texas (UT) - Austin,30.28380891,-97.73643977
University of Texas at Arlington (UTA),32.72917985,-97.11514636
University of Texas at El Paso (UTEP),31.77172065,-106.5035897
University of Texas at San Antonio (UTSA),29.58243099,-98.62139519
University of Toledo,41.65723265,-83.61593123
University of Utah,40.76252098,-111.8460847
University of Vermont (UVM),44.47924444,-73.19815007
University of Virginia (UVA),38.0339319,-78.51188173
University of Washington (UW),47.65576361,-122.310826
University of Wisconsin (UW) - Eau Claire,44.79843558,-91.50041077
University of Wisconsin (UW) - Green Bay,44.53112405,-87.92048309
University of Wisconsin (UW) - La Crosse,43.81535385,-91.23012423
University of Wisconsin (UW) - Madison,43.07386408,-89.40536833
University of Wisconsin (UW) - Milwaukee,43.07683307,-87.88050224
University of Wisconsin (UW) - Oshkosh,44.02500501,-88.54932897
University of Wisconsin (UW) - Parkside,42.64604154,-87.8553609
University of Wisconsin (UW) - Platteville,42.73420464,-90.48795107
University of Wisconsin (UW) - Stevens Point,44.52963016,-89.57096783
University of Wisconsin (UW) - Stout,44.87177501,-91.92526267
University of Wisconsin (UW) - Whitewater,42.83551777,-88.74238729
University of Wyoming (UW),41.3119922,-105.5719939
Ursinus College,40.19421361,-75.45806935
Utah State University,41.74072048,-111.8138724
Utah Valley State College,40.27854162,-111.7170384
Vassar College,41.68595666,-73.89753317
Virginia Commonwealth University (VCU),37.54761156,-77.45361877
Virginia Polytechnic Institute and State University (Virginia Tech),37.22988073,-80.41995659
Washington and Lee University,37.78901182,-79.44284555
Washington State University (WSU),46.73040863,-117.1582114
Wayne State University,42.35856301,-83.07291087
Wellesley College,42.29372017,-71.30663834
Wentworth Institute of Technology,42.33658219,-71.09498046
"Wesleyan University (Middletown, Connecticut)",41.55677397,-72.65680151
West Virginia University (WVU),39.63472844,-79.95392599
Western Carolina University,35.30937051,-83.18457292
Western Michigan University (WMU),42.28075457,-85.61348741
Western Washington University,34.05805698,-117.7476964
Whitman College,46.07148114,-118.3297319
Williams College,42.71280372,-73.20302877
Wittenberg University,39.934815,-83.81392283
Worcester Polytechnic Institute (WPI),42.27438486,-71.80980612
Yale University,41.31227492,-72.92255779